teamId,teamName,gender,weapon,lowWinPct,mediumWinPct,highWinPct,lowStrength,mediumStrength,highStrength,lowScore,mediumScore,highScore,prc,spi
49,Boston College,Men,Epee,0.875,0.875,0.4667,30.5,41.5,57.6923,26.6875,36.3125,26.9231,4.5,94.4231
90,Wheaton College (Massachusetts),Men,Epee,0.5,0.0714,0,30.75,41.7143,58.125,0,0,0,2,2
49,Boston College,Men,Foil,0.8,0.8,0.4286,30,39.6,60,24,31.68,25.7143,4.5,85.8943
90,Wheaton College (Massachusetts),Men,Foil,0.75,0.6923,0.0667,30.75,39.0769,56.9231,23.0625,27.0533,3.7949,2.5,56.4106
49,Boston College,Men,Sabre,0.9,0.8,0.4286,30.3,40,61.6667,27.27,32,26.4286,5,90.6986
90,Wheaton College (Massachusetts),Men,Sabre,0.5,0.125,0,31.75,41,60,15.875,0,0,1.5,17.375
49,Boston College,Men,Team,0.8333,0.8333,0.5455,30.5,41,60,25.4167,34.1667,32.7273,4.5,96.8106
90,Wheaton College (Massachusetts),Men,Team,0.6,0.0526,0,31.2,40.6316,56,18.72,0,0,2,20.72
15,Boston College,Women,Epee,0.8889,0.8,0.4,23.6667,40.8,59.2308,21.037,32.64,23.6923,4,81.3693
91,Wheaton College (Massachusetts),Women,Epee,0.3636,0.0769,0,31.3636,40.3077,55,11.405,0,0,0.5,11.905
15,Boston College,Women,Foil,0.9167,0.6923,0.4444,29.5,41.5385,68.5714,27.0417,28.7574,30.4762,4,90.2753
91,Wheaton College (Massachusetts),Women,Foil,0.1875,0.1429,0,30,41.7143,56.6667,5.625,5.9592,0,1,12.5842
15,Boston College,Women,Sabre,0.9,0.6923,0.3636,21,39.6923,62.2222,18.9,27.4793,22.6263,4,73.0056
91,Wheaton College (Massachusetts),Women,Sabre,0.2,0.1818,0,26.8,38.1818,57.5,5.36,6.9421,0,0,12.3021
15,Boston College,Women,Team,0.9,0.7857,0.3,24.6,41.4286,65,22.14,32.551,19.5,4,78.191
91,Wheaton College (Massachusetts),Women,Team,0.2143,0.125,0,31.2857,41.5,58.3333,6.7041,5.1875,0,0.5,12.3916
82,Brandeis University,Women,Epee,0.875,0.3636,0.15,26.625,41.0909,61.1111,23.2969,14.9421,9.1667,3,50.4057
40,Wellesley College,Women,Epee,0.9444,0.6667,0.4,26.8333,38.6667,53.0769,25.3426,25.7778,21.2308,3.5,75.8511
82,Brandeis University,Women,Foil,0.9167,0.2727,0,30,41.8182,65.7143,27.5,11.405,0,3,41.905
40,Wellesley College,Women,Foil,0.9231,0.5556,0.3333,29.5385,40.8889,58.5714,27.2663,22.716,19.5238,3.5,73.0061
82,Brandeis University,Women,Sabre,0.9091,0.5,0.1111,25.0909,39.6,60.625,22.8099,19.8,6.7361,2.5,51.846
40,Wellesley College,Women,Sabre,0.9048,0.4,0.1818,21.2857,39.2,55.5556,19.2585,15.68,10.101,3,48.0395
82,Brandeis University,Women,Team,0.8889,0.2857,0,27.3333,41.1429,65,24.2963,11.7551,0,3,39.0514
40,Wellesley College,Women,Team,0.9565,0.5,0.3333,25.3043,40.6667,57.1429,24.2042,20.3333,19.0476,3.5,67.0851
2,Brown University,Women,Epee,0.9091,0.7778,0.375,27.5455,40,53.3333,25.0413,31.1111,20,4,80.1524
7,Vassar College,Women,Epee,0.8182,0.6667,0,26.7273,40,61.8182,21.8678,26.6667,0,2.5,51.0344
2,Brown University,Women,Foil,0.9375,0.6667,0.3333,30,41.3333,65,28.125,27.5556,21.6667,4,81.3472
7,Vassar College,Women,Foil,0.7143,0.1429,0,29.7857,41.1429,65.7143,21.2755,0,0,1.5,22.7755
2,Brown University,Women,Sabre,0.9167,0.8,0.1667,22.5,39.2,60,20.625,31.36,10,4,65.985
7,Vassar College,Women,Sabre,0.9231,0.2857,0.1,22.8462,41.1429,61.25,21.0888,11.7551,6.125,2.5,41.4689
2,Brown University,Women,Team,0.9167,0.9,0.5,28.25,39.6,60,25.8958,35.64,30,4,95.5358
7,Vassar College,Women,Team,0.9231,0.1429,0,27.9231,41.7143,63.75,25.7751,0,0,2.5,28.2751
85,Massachusetts Institute of Technology,Women,Epee,0.8889,0.7,0.2222,27.3333,40.8,62.8571,24.2963,28.56,13.9683,4,70.8246
