id	name	gender
48	U.S. Air Force Academy	Men
49	Boston College	Men
50	Brandeis University	Men
51	Cleveland State University	Men
52	Columbia University-Barnard College	Men
53	University of Detroit Mercy	Men
92	Denison University	Men
56	Drew University	Men
57	Duke University	Men
55	Harvard University	Men
54	Haverford College	Men
58	Hunter College	Men
59	University of the Incarnate Word	Men
60	Johns Hopkins University	Men
62	Lafayette College	Men
61	Lawrence University	Men
63	Long Island University	Men
64	Massachusetts Institute of Technology	Men
65	New Jersey Institute of Technology	Men
66	University of North Carolina, Chapel Hill	Men
67	University of Notre Dame	Men
30	New York University	Men
34	The Ohio State University	Men
28	University of Pennsylvania	Men
26	Penn State	Men
25	Princeton University	Men
24	Sacred Heart University	Men
23	St. John's University (New York)	Men
22	Stanford University	Men
81	Stevens Institute of Technology	Men
21	University of California, San Diego	Men
20	Vassar College	Men
89	Wagner College	Men
33	Wayne State University (Michigan)	Men
90	Wheaton College (Massachusetts)	Men
79	Yale University	Men
41	Yeshiva University	Men
15	Boston College	Women
82	Brandeis University	Women
2	Brown University	Women
38	The City College of New York	Women
8	Cleveland State University	Women
32	Columbia University-Barnard College	Women
1	Cornell University	Women
83	Denison University	Women
39	University of Detroit Mercy	Women
43	Drew University	Women
6	Duke University	Women
11	Fairleigh Dickinson University, Metropolitan Campus	Women
12	Harvard University	Women
10	Haverford College	Women
42	Hunter College	Women
9	Johns Hopkins University	Women
29	Lafayette College	Women
36	Lawrence University	Women
84	Long Island University	Women
85	Massachusetts Institute of Technology	Women
86	New Jersey Institute of Technology	Women
46	Northwestern University	Women
18	University of Notre Dame	Women
5	New York University	Women
4	The Ohio State University	Women
3	University of Pennsylvania	Women
44	Pennsylvania State University	Women
45	Princeton University	Women
35	Sacred Heart University	Women
17	St. John's University (New York)	Women
75	Stanford University	Women
31	Stevens Institute of Technology	Women
27	Temple University	Women
13	Tufts University	Women
76	University of California, San Diego	Women
80	University of the Incarnate Word	Women
87	University of North Carolina, Chapel Hill	Women
37	U.S. Air Force Academy	Women
7	Vassar College	Women
14	Wagner College	Women
47	Wayne State University (Michigan)	Women
40	Wellesley College	Women
91	Wheaton College (Massachusetts)	Women
19	Yale University	Women
88	Yeshiva University	Women
